Identifier	Dose Form	
420292003	Rectal powder
1237289004	Concentrate for oromucosal solution
769115006	Effervescent powder for oral solution
427129005	Oral coated capsule
70409003	Oromucosal solution for mouthwash
764802001	Transdermal gel
1237266007	Concentrate for rectal solution
764780001	Effervescent oral tablet
385168007	Vaginal foam
385202003	Emulsion for nebulizer
1229931000	Powder for vaginal solution
1230336000	Oral effervescent powder
739147005	Rectal suspension spray
1230359006	Sublingual powder
385192004	Tablet for rectal solution
385077002	Gingival solution
1209112001	Granules for oral and rectal suspension
385260008	Gastroenteral emulsion
1269278009	Porous impregnated material for pulmonary vapor inhalation
1231478002	Solution for hemodiafiltration
385088008	Dental gel
385019009	Oral drops solution
1236766001	Powder for tissue adhesive
1237290008	Concentrate for oral and rectal solution
763820000	Gastro-resistant oral suspension
385134001	Ear gel
763340003	Sublingual solution spray
1234927004	Powder for solution for infusion or injection
385053008	Prolonged-release oral capsule
385110006	Cutaneous suspension
385179002	Effervescent vaginal tablet
1209021002	Powder for solution for infusion and/or injection
763819006	Prolonged-release transdermal film
1230358003	Effervescent granules for oral suspension
385089000	Dental stick
385018001	Oral drops
385259003	Gastroenteral suspension
1231479005	Solution for hemodiafiltration or hemodialysis
1230360001	Sublingual film
422060001	Eye solution
1231536006	Oromucosal solution for gargle or mouthwash
421765004	Solution for intraperitoneal injection
1231719001	Powder for solution for intraocular drops
447079001	Orodispersible tablet
385123004	Eye ointment
1231318007	Cutaneous collodion
1236765002	Solution for tissue adhesive
424552006	Vaginal sponge
1230267000	Powder for dispersion for injection
385157007	Nasal spray
420293008	Oral coated pellets capsule
762072000	Cutaneous tape
421949005	Cutaneous gel
426823003	Vaginal spray
1230324006	Powder for solution for endotracheopulmonary instillation
1231833006	Prolonged-release solution for injection
420692007	Oral capsule
765062008	Prolonged-release oral soft capsule
385191006	Powder for rectal suspension
421366001	Dispersible oral tablet
1230222007	Periodontal insert
762895008	Granules for oromucosal solution
1234766003	Solution for dental cement
385032004	Oral syrup
1237310005	Concentrate for oromucosal solution for gargle
1231720007	Intraocular drops solution
896760006	Powder for oral and rectal suspension
420636007	Ear and eye drops
1237291007	Concentrate for solution for intraocular irrigation
385158002	Nasal solution spray
385135000	Ear ointment
719200003	Ophthalmic strip
385182007	Rectal cream
767059009	Vaginal pessary
1237267003	Concentrate for solution for infusion
385201005	Powder for nebulizer solution
739148000	Rectal solution spray
385124005	Eye drops
385258006	Gastroenteral solution
1229930004	Ear and nose drops solution
385021004	Oral drops emulsion
1255299001	Tablet for oromucosal solution for mouthwash
385193009	Tablet for rectal suspension
385247002	Solution for endotracheopulmonary instillation
420509004	Oral granules
1230220004	Periodontal gel
66076007	Chewable tablet
385108009	Cutaneous solution
385246006	Urethral stick
1237268008	Concentrate for solution for injection
1230325007	Powder for suspension for endotracheopulmonary instillation
1217284004	Gastro-resistant oral hard capsule
385020003	Oral drops suspension
1230221000	Periodontal powder
420736004	Eye suspension
764446000	Nasal paste
385054002	Modified-release oral capsule
421857007	Powder for eye solution
764803006	Transdermal spray
765061001	Gastro-resistant oral soft capsule
385170003	Vaginal solution
385147006	Ear tampon
1230073008	Cutaneous ointment spray
1231579008	Intravesical suspension
385119007	Cutaneous sponge
385224003	Powder for suspension for injection
385136004	Ear drops
385065007	Oromucosal solution for gargle
385154000	Nasal drops suspension
761905004	Oromucosal spray solution
385177000	Soft vaginal capsule
1230196005	Powder for dispersion for infusion
385074009	Sublingual spray
420873008	Prolonged-release suspension for injection
385039008	Oral paste
764296002	Prolonged-release subcutaneous implant
763823003	Powder for oromucosal gel
1237286006	Concentrate for emulsion for injection
385102005	Cutaneous paste
764485007	Cutaneous patch
385113008	Solution for iontophoresis
420929008	Rectal suppository
1231562002	Emulsion for vapor inhalation
1231818003	Impregnated material for ophthalmic application
385165005	Vaginal cream
1208958005	Solution for infusion and/or injection
1237263004	Concentrate for suspension for injection
425965000	Rectal spray
1229934008	Oromucosal spray emulsion
425753008	Cutaneous ointment
1209093009	Ear and nose drops suspension
385205001	Pressurized suspension for inhalation
385063000	Prolonged-release oral gum
1230184003	Dispersion for infusion
1230224008	Cutaneous lacquer
1230350005	Cutaneous poultice
1231372000	Powder for suspension for oral drops
762893001	Transdermal ointment
764776006	Dental pellet
385217004	Gas for inhalation
385166006	Vaginal gel
1237264005	Concentrate for oral suspension
422068008	Eye drops suspension
763485003	Intrauterine suspension
421338009	Prolonged-release oral coated capsule
385251000	Endocervical gel
385038000	Oral gel
1229933002	Transdermal solution spray
1230185002	Dispersion for injection
385132002	Prolonged-release ophthalmic insert
1230202008	Powder for oromucosal solution for mouthwash
1231572004	Prolonged-release transdermal delivery system
422264003	Powder for prolonged-release suspension for injection
1231476003	Solution for hemofiltration
765065005	Powder for suspension for infusion
385188006	Rectal suspension
385143005	Ear spray emulsion
422080000	Nasal suspension
385027000	Powder for oral suspension
1236768000	Dispersion for infusion and/or injection
1237275009	Concentrate for solution for hemodialysis
764297006	Transdermal foam
385086007	Prolonged-release muco-adhesive buccal tablet
385199008	Suspension for nebulizer
1230186001	Prolonged-release dispersion for injection
385112003	Cutaneous powder
1231714006	Pure liquid for oral drops
62071000087106	Prolonged-release chewable tablet
420536002	Vaginal powder
385041009	Oral powder
1287605002	Solution for intraperitoneal instillation
385121002	Eye cream
1231723009	Conventional release toothpaste
443424002	Buccal film
739372003	Vaginal solution spray
421535006	Gastro-resistant oral particles tablet
1230200000	Powder for oromucosal solution for gargle
765367006	Emulsion for infusion
385073003	Oromucosal spray
1236767005	Impregnated material for tissue adhesive
1163202003	Cutaneous emulsion for bathing
1237288007	Concentrate for intravesical solution
385052003	Gastro-resistant oral capsule
763484004	Intrauterine solution
762064002	Eye emulsion
385250004	Suspension for endotracheopulmonary instillation
765064009	Modified-release oral soft capsule
385029002	Granules for oral suspension
385084005	Sublingual tablet
385155004	Nasal drops emulsion
783748000	Foam for injection
1237287002	Concentrate for cutaneous solution
385133007	Ear cream
385189003	Rectal emulsion
739662008	Vaginal tampon
421056002	Emulsion for inhalation
1231571006	Prolonged-release vaginal delivery system
762065001	Cutaneous lotion
421382000	Ear suspension
385204002	Pressurized solution for inhalation
1230351009	Sublingual lyophilisate
1231373005	Granules for solution for oral drops
385085006	Buccal tablet
385028005	Granules for oral solution
385062005	Oral lyophilisate
385156003	Nasal powder
1209095002	Solution for intravesical and urethral irrigation
761906003	Oromucosal suspension spray
421221008	Suspension for inhalation
385096003	Dental emulsion
385111005	Cutaneous emulsion
764378009	Enteral dose form
1237265006	Concentrate for oral solution
1231713000	Oral pure liquid
385167002	Vaginal ointment
1229932007	Transdermal solution
420767002	Gastro-resistant oral pellets capsule
385122009	Eye gel
1231724003	Solution for cardioplegia or organ preservation
422336005	Nasal solution
739371005	Vaginal suspension spray
385178005	Vaginal tablet
421628006	Cutaneous cream
1173983000	Cutaneous oil for bathing
785910004	Prolonged-release intralesional implant
785899003	Solution for ocular irrigation
766233005	Gastro-resistant and prolonged-release oral granules
764499006	Buccal lozenge
764774009	Conventional release and prolonged-release oral tablet
385219001	Solution for injection
