Identifier	RouteOfAdministration
66621000052103	Sublabial route
447026006	Intraileal route
372469009	Intrapleural route
418730005	Nasojejunal route
372452007	Endotracheopulmonary route
404820008	Epidural route
10547007	Otic route
445913005	Intralingual route
372461007	Intracavernous route
420168000	Urostomy route
697971008	Arteriovenous fistula route
447121004	Intramammary route
404819002	Intrabiliary route
127492001	Nasogastric route
417989007	Intraductal route
372475000	Perineural route
418114005	Intravenous central route
445756007	Intradural route
445771006	Intrapericardial route
372470005	Intrasternal route
766790006	Extracorporeal hemodialysis route
372464004	Intradermal route
416174007	Suborbital route
418441008	Orogastric route
447694001	Respiratory tract route
447081004	Lower respiratory tract route
445767008	Intrameningeal route
72607000	Intrathecal route
447227007	Transtympanic route
372457001	Gingival route
47625008	Intravenous route
420254004	Body cavity route
12130007	Intra-articular route
876824003	Intradialytic route
420185003	Laryngeal route
419320008	Subtendinous route
372450004	Endocervical route
418321004	Retrobulbar route
58811000052103	Peritumoral route
78421000	Intramuscular route
418722009	Peribulbar route
445768003	Intragastric route
372463005	Intracoronary route
418877009	Intrasynovial route
419243002	Transcervical route
372458006	Intraamniotic route
419684008	Ureteral route
448492006	Intracolonic route
45890007	Transdermal route
445754005	Intragingival route
418091004	Intratympanic route
418892005	Intracisternal route
420047004	Periosteal route
417255000	Intraosseous route
58771000052103	Intraportal route
446105004	Conjunctival route
418821007	Intracameral route
127490009	Gastrostomy route
372466002	Intralesional route
418586008	Intratendinous route
372472002	Ocular route
372449004	Dental route
420163009	Esophagostomy route
418813001	Surgical drain route
419810008	Intraprostatic route
419778001	Intrabronchial route
419631009	Intraovarian route
447122006	Intratumor route
718329006	Infiltration route
447229005	Transtracheal route
419894000	Surgical cavity route
446442000	Transplacental route
58100008	Intra-arterial route
418136008	Gastro-intestinal stoma route
419993007	Intravenous peripheral route
420287000	Intraventricular route - cardiac
58751000052109	Intraglandular route
372465003	Intradiscal route
37161004	Rectal route
372471009	Intravesical route
419874009	Submucosal route
447080003	Peridural route
34206005	Subcutaneous route
445941009	Intrahepatic route
54485002	Ophthalmic route
445752009	Intraesophageal route
418204005	Periurethral route
418743005	Fistula route
37839007	Sublingual route
418133000	Intramyometrial route
1388571004	Intraligamentary route
58831000052108	Subretinal route
419954003	Ileostomy route
16857009	Vaginal route
417985001	Enteral route
372468001	Intraocular route
58761000052107	Intracholangiopancreatic route
419396008	Intraabdominal route
764723001	Epilesional route
58821000052106	Posterior juxtascleral route
418987007	Intracranial route
38239002	Intraperitoneal route
417950001	Intrathoracic route
418511008	Transurethral route
420201002	Intrapulmonary route
418162004	Colostomy route
711360002	Intraneural route
418608002	Intracorneal route
372460008	Intracardiac route
419601003	Subgingival route
372453002	Extra-amniotic route
419762003	Peritendinous route
418331006	Intracartilaginous route
428191002	Percutaneous route
372474001	Periarticular route
418887008	Intraduodenal route
446407004	Intraepicardial route
127491008	Jejunostomy route
372473007	Oromucosal route
418287000	Intracoronal route
372467006	Intralymphatic route
448491004	Intrajejunal route
418418000	Intraspinal route
372454008	Gastroenteral route
420204005	Mucous fistula route
418401004	Intravitreal route
448598008	Cutaneous route
6064005	Topical route
54471007	Buccal route
447964005	Digestive tract route
714743009	Extracorporeal route
419021003	Tumor cavity route
447052000	Periodontal route
711378007	Intramural route
420218003	Nasoduodenal route
26643006	Oral route
446540005	Intracerebral route
1611000175109	Sublesional route
1254769004	Suprachoroidal route
419231003	Intrasinal route
418947002	Intratesticular route
90028008	Urethral route
372462000	Intracervical route
46713006	Nasal route
418664002	Oropharyngeal route
37737002	Intraluminal route
1259221004	Intracorporus cavernosum route
404818005	Intratracheal route
448077001	Intraepidermal route
372459003	Intrabursal route
429817007	Interstitial route
417070009	Caudal route
372451000	Endosinusial route
62226000	Intrauterine route
419165009	Paravertebral route
372476004	Subconjunctival route
446435000	Transendocardial route
418851001	Paracervical route
60213007	Intramedullary route
420719007	Intracerebroventricular route
445755006	Intravascular route
